410566152394244106; 16
948151285356576778; 108
476409795239477248; 26
685452270153760778; 7
477593635358113792; 65
145502781623500810; 15
240638816308690944; 7
459421714552717312; 3
390516992857079809; 1
452410488920473600; 19
569970505361129542; 57
716390085896962058; 16
719912970829955094; 1
490786769160241153; 14
244142725039915008; 9
697812611495886969; 9
433324003386720288; 4
629001573728518157; 17
594852107534991384; 4
632281236538130433; 1
690462386997559306; 5
424607267963535370; 1
520634307455483924; 8
908521820544720896; 2
766674809174097920; 2
970649369479110657; 1
685841357448937512; 1
969209047171620934; 1
770787590152126525; 4
235148962103951360; 1
